,Weekly_Date_Custom,count
266,2023-04-25,24862
267,2023-05-02,16430
268,2023-05-09,24724
269,2023-05-16,20251
270,2023-05-23,4708
271,2023-05-30,7017
272,2023-06-06,24336
273,2023-06-13,24016
274,2023-06-20,23894
275,2023-06-27,24394
276,2023-07-04,20900
277,2023-07-11,26894
278,2023-07-18,25522
279,2023-07-25,25435
280,2023-08-01,14574
281,2023-08-08,26582
282,2023-08-15,25523
283,2023-08-22,19895
284,2023-08-29,15490
285,2023-09-05,26001
286,2023-09-12,21843
287,2023-09-19,6703
