,Weekly_Date_Custom,Sentiment_negative,Sentiment_neutral,Sentiment_positive
102,2020-03-03,0.35551202,0.202496,0.16338226
103,2020-03-10,0.3626189,0.20133828,0.15903415
104,2020-03-17,0.35390234,0.20529655,0.16516548
105,2020-03-24,0.3420167,0.20090738,0.16665669
106,2020-03-31,0.32234615,0.20022412,0.1730675
107,2020-04-07,0.33850977,0.19611216,0.1632075
108,2020-04-14,0.35560915,0.20242244,0.16233811
109,2020-04-21,0.36373025,0.20055786,0.15832072
110,2020-04-28,0.35414264,0.20256637,0.16189975
111,2020-05-05,0.3503047,0.20292735,0.16413675
112,2020-05-12,0.35035697,0.2000329,0.16274825
113,2020-05-19,0.35413545,0.20597245,0.16655739
114,2020-05-26,0.35661492,0.20254207,0.16436657
115,2020-06-02,0.35936514,0.20424673,0.16421264
116,2020-06-09,0.35143438,0.20707048,0.16692592
117,2020-06-16,0.34917983,0.20189708,0.16134575
118,2020-06-23,0.3475167,0.1983667,0.16293098
119,2020-06-30,0.3318196,0.19964275,0.16619475
120,2020-07-07,0.34226495,0.20124745,0.16391739
121,2020-07-14,0.3364313,0.20149346,0.1654253
122,2020-07-21,0.33000207,0.20032462,0.16629346
123,2020-07-28,0.341671,0.20356174,0.1643866
124,2020-08-04,0.3474647,0.2056012,0.16658953
125,2020-08-11,0.34715024,0.2058993,0.16652405
126,2020-08-18,0.34049118,0.20335236,0.16804163
127,2020-08-25,0.34533912,0.20752817,0.16723791
128,2020-09-01,0.34629744,0.2050762,0.16717333
129,2020-09-08,0.3442042,0.20333998,0.16618048
130,2020-09-15,0.31451023,0.19502132,0.16856517
131,2020-09-22,0.33833277,0.20040226,0.16707624
132,2020-09-29,0.343668,0.20077041,0.16700323
133,2020-10-06,0.34584916,0.19969678,0.16352081
134,2020-10-13,0.3532845,0.20421445,0.16338441
135,2020-10-20,0.33855236,0.19919789,0.16557512
136,2020-10-27,0.34389147,0.19897759,0.16425847
137,2020-11-03,0.3326169,0.19712546,0.16861515
138,2020-11-10,0.31900066,0.19397372,0.16982561
139,2020-11-17,0.32309505,0.19986007,0.16991848
140,2020-11-24,0.3292847,0.2010486,0.16946906
141,2020-12-01,0.32552445,0.19903551,0.16887763
142,2020-12-08,0.32429183,0.19750519,0.16789141
143,2020-12-15,0.30042607,0.19585617,0.17452992
144,2020-12-22,0.32238343,0.19618371,0.16978317
145,2020-12-29,0.34620017,0.19942698,0.16507608
146,2021-01-05,0.3530482,0.20309968,0.16460352
147,2021-01-12,0.3539697,0.2028364,0.16327581
148,2021-01-19,0.3433608,0.19689746,0.16268045
149,2021-01-26,0.33087853,0.20642368,0.17088872
150,2021-02-02,0.33346215,0.20030063,0.16834784
151,2021-02-09,0.33948916,0.19980739,0.16721478
152,2021-02-16,0.32705224,0.2007832,0.17288382
153,2021-02-23,0.33581877,0.19703485,0.1660293
154,2021-03-02,0.3208084,0.19747463,0.1711514
155,2021-03-09,0.32818747,0.19549315,0.16767476
156,2021-03-16,0.32352233,0.19294357,0.16612114
157,2021-03-23,0.33455014,0.19971953,0.16856113
158,2021-03-30,0.335722,0.1989525,0.16730468
159,2021-04-06,0.33264583,0.19625074,0.16633423
160,2021-04-13,0.3362192,0.1993824,0.16666383
161,2021-04-20,0.32231033,0.19583656,0.16877405
162,2021-04-27,0.3318063,0.1953652,0.16315266
163,2021-05-04,0.33395296,0.1989316,0.16848294
164,2021-05-11,0.33172664,0.1965006,0.16567364
165,2021-05-18,0.33051074,0.19883963,0.16721965
166,2021-05-25,0.3275181,0.19946098,0.17037104
167,2021-06-01,0.33136687,0.19842051,0.17059582
168,2021-06-08,0.3221564,0.19827232,0.16955736
169,2021-06-15,0.32286355,0.19700745,0.1694164
170,2021-06-22,0.3235574,0.19773544,0.16778895
171,2021-06-29,0.33020744,0.19897236,0.16779926
172,2021-07-06,0.3329197,0.20181136,0.16773126
173,2021-07-13,0.3345465,0.20201264,0.16800937
174,2021-07-20,0.3404154,0.20215139,0.16452454
175,2021-07-27,0.33409497,0.20188573,0.16680679
176,2021-08-03,0.33321846,0.19719322,0.16779695
177,2021-08-10,0.30592746,0.19416147,0.17129475
178,2021-08-17,0.32399118,0.19519523,0.16956876
179,2021-08-24,0.3318853,0.19690292,0.1655534
180,2021-08-31,0.32976145,0.1978215,0.16709478
181,2021-09-07,0.32457373,0.1925238,0.16541445
182,2021-09-14,0.32903057,0.19530721,0.16670457
183,2021-09-21,0.33085814,0.19736502,0.16897798
184,2021-09-28,0.34731513,0.19776447,0.16484804
185,2021-10-05,0.26289067,0.17476931,0.16857566
186,2021-10-12,0.2441281,0.21323672,0.20561679
187,2021-10-19,0.23474102,0.18792474,0.18137062
188,2021-10-26,0.25868633,0.18295614,0.17979257
189,2021-11-02,0.3242163,0.19221981,0.16581218
190,2021-11-09,0.32166722,0.19097778,0.16586001
191,2021-11-16,0.32077456,0.19240347,0.16725358
192,2021-11-23,0.32353735,0.19659759,0.16847543
193,2021-11-30,0.3161069,0.1930597,0.16781628
194,2021-12-07,0.2929833,0.19035009,0.17454931
195,2021-12-14,0.30989334,0.19738245,0.17379174
196,2021-12-21,0.3272797,0.19506069,0.16448933
197,2021-12-28,0.3313371,0.19456877,0.16406798
198,2022-01-04,0.33577254,0.20058545,0.16833355
199,2022-01-11,0.34798968,0.20464334,0.16775484
200,2022-01-18,0.3350613,0.20347808,0.17101006
201,2022-01-25,0.32995808,0.1994467,0.16855142
202,2022-02-01,0.31486607,0.19733073,0.1717118
203,2022-02-08,0.3302729,0.1978275,0.16948225
204,2022-02-15,0.31696647,0.20006257,0.17166798
205,2022-02-22,0.3120093,0.19944188,0.17376284
206,2022-03-01,0.30544433,0.19744058,0.17353527
207,2022-03-08,0.3089578,0.19359222,0.17004293
208,2022-03-15,0.31971985,0.19904533,0.17237595
209,2022-03-22,0.30680916,0.19492663,0.17075777
210,2022-03-29,0.2939902,0.19064976,0.17515932
